news,masked headline,ans,predicted_ans,calculation,response
"(Jan 4, 2012  7:54 AM) Scientists say there's a simple way to minimize the risk that the natural gas extraction technique known as  fracking  will cause earthquakes--like the one that hit Ohio on New Year's. But there's a catch: It costs $10 million per injection well, a price the energy industry isn't likely to pony up gladly, Reuters reports. It's not the actual fracking, but the disposal of contaminated fluids--which are typically pumped deep into the Earth--that seems to be causing the quakes. So seismologists say that if companies conducted a thorough seismic survey before pumping drilling fluid into the ground, they could make sure it's not going to hit quake-prone areas. But the process is both more costly and more involved than the oil companies' usual method of drilling a bore hole to collect a limited rock sample, and companies aren't likely to do more until the link between fracking and earthquakes is definitively proven. It hasn't been yet, but the evidence is strong: Every region where fracking has taken off has seen quakes increase tenfold.",Fracking Quakes Could Be Avoided ... for $[MASK]M Per Well,10,10,Copy(10),"{
  ""ans"": ""10""
}"
"(Mar 5, 2015  3:26 PM) You've probably heard the song-- I Fought the Law --but maybe not the story of the singer who made it famous in 1966. Bobby Fuller had just struck it big with his cover of the song when his body was found in a parked car. The 23-year-old had died of asphyxiation, his body doused in gasoline and seemingly beaten, recounts the Los Angeles Times; he reportedly died due to inhaled gasoline. It was officially ruled a suicide, and now a new biography of Fuller co-written by his brother revisits the case, which the LAT calls  one of rock's strangest deaths.  Randy Fuller, who played in Bobby's band, never believed the suicide story, and few others who knew him well did, either. The LAT says various theories, including one involving the mob, have surfaced over the ensuing decades without verification. ( Who would pour gas on himself in a hot car?  Randy Fuller said in 1998.  I just think he got in a bad situation that night, met the wrong dude and couldn't get out of it. ) The book, I Fought The Law: The Life and Strange Death of Bobby Fuller apparently doesn't try to solve the mystery as much as resurrect it. Fuller died just a few months after recording his big hit, notes LA Magazine. (Click for more unsolved Hollywood mysteries.)",Book Rekindles Mystery of Star Singer's Death in [MASK],1966,1966,Copy(1966),"{
  ""ans"": 1966
}"
"(Mar 5, 2010  8:38 PM) A new federal indictment implicates a Kansas doctor and his wife in nine additional patient deaths, bringing to 68 the number of fatal overdoses the government contends are linked to illegal prescription writing and a moneymaking conspiracy at their clinic. Dr. Stephen Schneider, his wife Linda, who is a nurse, and unnamed others are accused of scheming to illegally dispense prescription drugs and defraud health-insurance programs and patients through their Haysville clinic. They also are accused of money laundering.",Feds Link [MASK] Fatal ODs to Kansas Clinic,68,68,Copy(68),"{""ans"": ""68""}"
"(Jul 17, 2010  6:16 AM CDT) The mother of a 14-year-old Dutch girl who wants to sail solo around the world has given up her opposition to her daughter's planned trip. Laura Dekker's dream of becoming the youngest person to sail alone around the globe has been thwarted by a Dutch court that last year made her a ward of the state amid concerns over her physical ability and her social development if she is isolated and out of school for months. Dekker's mother, Babs Mueller, wrote in an open letter published in today's edition of the Algemeen Dagblad newspaper that she no longer opposes the voyage. Mueller says  I know she can do it.  Dekker is due in court Tuesday for a hearing on whether she should remain a ward of the state. Mueller is separated from Dekker's father.","Mom of Dutch Sailor, [MASK]: OK, She Can Go",14,14,Copy(14),"{
  ""ans"": 14
}"
"(Sep 20, 2019  1:52 AM CDT) Gun-maker Colt is suspending its production of rifles for the civilian market including the popular AR-15, the company said Thursday in a shift it attributed to changes in consumer demand and a market already saturated with similar weapons. The company said it will focus instead on fulfilling contracts with military and police customers for rifles, the AP reports.  The fact of the matter is that over the last few years, the market for modern sporting rifles has experienced significant excess manufacturing capacity,  Colt's chief executive officer, Dennis Veilleux, said in a statement.  Given this level of manufacturing capacity, we believe there is adequate supply for modern sporting rifles for the foreseeable future.",Colt Suspends Production of AR-[MASK] Rifles for Civilians,15,15,Copy(15),"{""ans"": ""15""}"
"(May 6, 2020  6:21 AM CDT) Anthony Fauci is literally the stuff romance novels are made of. The director of the National Institute of Allergy and Infectious Diseases was the inspiration for the erotic hero in Sally Quinn's 1991 novel Happy Endings, in which widowed First Lady Sadie Grey falls for a sandy-haired NIH scientist named Michael Lanzer, who has just discovered a therapy for AIDS. Quinn had been seated next to Fauci, who was then battling the spread of AIDS, at a Washington dinner party as she sought inspiration for the sequel to 1986's Regrets Only, per the Washingtonian.  Usually those dinners, you make polite conversation, and that's it. But we had this intense conversation, personal conversation. I thought, 'Wow, this guy is amazing,'  Quinn tells the outlet.  I just fell in love with him.  She decided Grey should  fall in love with this doctor who does this amazing work, and doesn't get a lot of publicity,  somebody  really brilliant, and compassionate, and kind, and decent, and honest ...and sexy.  The novel finds Grey musing over Lanzer's  low, melodious, sexy, almost hypnotic  voice. Upon being dragged to a White House event, Lanzer complains about becoming a  PR man,  but he supports the administration even as  an incapacitated president leaves the nation feeling 'rudderless'  and  a senior official spews reckless claims about HIV,  per the Washingtonian. Quinn says Fauci has known about the inspiration for some time.  He just thought it was funny,  she says.  I think he was a little embarrassed.  The allure continues, per the Hill, which describes a petition to have Fauci, 79, named  sexiest man alive.","Meet Anthony Fauci, [MASK] Romance Novel Hero",1991,1,Copy(1991),"{
  ""ans"": 1
}"
"(Jul 30, 2020  10:14 AM CDT) There are only around 1000 or so mountain gorillas left on the planet--and that number went down by one last month when a poacher in Uganda killed Rafiki, a silverback popular with tourists. The poacher, Felix Byamukama, had been part a group hunting illegally for bush meat in Bwindi Impenetrable National Park. Byamukama. who said he killed the 25-year-old gorilla with a spear in self-defense after it charged him, was sentenced to 11 years after pleading guilty to illegally entering the park and killing the gorilla, along with a bush pig and a small antelope, the BBC reports. Three other members of the hunting party are in jail but have yet to be tried.  We are relieved that Rafiki has received justice and this should serve as an example to other people who kill wildlife,  said Sam Mwandha, executive director of the Uganda Wildlife Authority, per CNN.  If one person kills wildlife, we all lose, therefore we request every person to support our efforts of conserving wildlife.  The wildlife authority says Byamukama could have received a life sentence if he had been tried by a special wildlife court. After Rafiki was killed, there were fears that a silverback more hostile to humans might take control of his 17-gorilla group, but a younger blackback gorilla from within the family has now taken charge.",Poacher Gets [MASK] Years for Killing Rare Gorilla,11,11,Copy(11),"{
  ""ans"": ""11""
}"
"(May 8, 2012  12:53 PM CDT) Membership at Disneyland's secretive Club 33 is so sought-after that no new names have been added to the 800-person-strong waiting list in a decade. But now, for the first time in 10 years, the membership rolls are being opened up once again, and 100 people on the waiting list will be invited to join the fewer than 500 who are estimated to be members. What will they get for their $25000 entrance fee and $10000 yearly dues? Access to Club 33, a hidden restaurant in New Orleans Square, as well as a new private club at the neighboring California Adventure theme park. Named 1901, for Walt Disney's birth year, the new club opens June 15 and aims to conjure up images of a 1930s lounge  where the animators would've hung out, swapped stories, doodled on napkins,  says an Imagineer. In addition to the restaurants--Disney originally imagined Club 33 as a place to woo investors, and it has been visited by many VIPs including presidents--members also get other perks like sneak peeks of upcoming attractions. Membership is being reopened to celebrate Club 33's 45th anniversary as well as an expansion of California Adventure, the Los Angeles Times notes.",Disney to Let [MASK] People Join Super Secret Club,100,100,Copy(100),"{
  ""ans"": ""100""
}"
"(Jan 2, 2018  3:25 PM) Stock indexes closed higher on the first trading day of 2018, led by gains in big technology companies. The gains were enough to set all-time highs for the Standard & Poor's 500 index and the Nasdaq composite. The Dow Jones industrial average increased 104 points, or 0.4%, to 24824, per the AP. The Nasdaq climbed 103 points, or 1.5%, to 7006, and the S&P 500 index rose 22 points, or 0.8%, to 2695. Retailers also led the way higher Tuesday. Nordstrom rose 3.7%, while Facebook gained 2.8% and Apple rose 1.8%. Natural gas prices climbed as cold weather continued to grip large parts of the US.",Markets Ring In [MASK] by Rising Again,2018,2018,Copy(2018),"{
  ""ans"": ""2018""
}"
"(May 27, 2014  2:01 AM CDT) Slimming down didn't lead to longevity for Manuel Uribe: The Mexican, who topped the scales at 1230 pounds in 2006 when he was the world's heaviest man, has died at the age of 48, the AP reports. He had slimmed down to around 867 pounds in recent years but remained bedridden at his mother's home in Monterrey. Officials say he was taken to the hospital--by crane--earlier this month because of an abnormal heartbeat. Uribe made the news in 2008, when he got married for the second time. He left the house--but not his bed--for the ceremony, which he was transported to in a flatbed truck. He got married for the first time in 1987, when he was living in Dallas and selling tacos on a street corner, Fox reports. Uribe said he had always been chubby, but his weight began to balloon in 1992 and he had been bedridden since 2002. No cause of death has been confirmed, but he is believed to have suffered from liver problems as well as heart trouble.",Onetime Heaviest Guy in World Dies at [MASK],48,48,Copy(48),"{""ans"": 48}"
