news,masked headline,ans,predicted_ans,calculation,response
"(Jun 16, 2015  11:51 PM CDT) Revived by a fresh-faced shooting superstar and a first-year coach who made them believe, the Golden State Warriors again reign supreme. Their 40-year NBA championship drought is finally over—and a half-century of misery in Cleveland drags on. LeBron James just didn't have enough help. Stephen Curry and finals MVP Andre Iguodala scored 25 points apiece, Draymond Green recorded a triple-double, and the Warriors—using a barrage of 3-pointers in the fourth quarter—won their first title since 1975 by finishing off James and the Cavaliers 105-97 in Game 6 in Cleveland. For the first time since Gerald Ford was in the White House, disco was in vogue, and Rick Barry was flicking in under-handed free throws, the best pro basketball team resides in the Bay Area. And these Warriors are a lot like Barry and his old crew: fluid, balanced, together—just like coach Steve Kerr had hoped. After falling behind by two points early in the third quarter, the Warriors took control with Curry, the league's MVP, and Iguodala, who made his first start of the season in Game 4, leading the way.  World champs,  Curry said, letting the title sink in.  This is truly special. This group is a special group. From the time we started the season this is what we envisioned and a lot of hard work goes into it, all the way down to the last minute of this game. This is what it's all about.",Warriors End <MASK>-Year Title Drought,40,40,Copy(40),< MASK > = 40
"(Feb 21, 2008  7:01 PM) Officials in a Chicago suburb ruled today that the third wife of former policeman Drew Peterson—who's under suspicion in the disappearance of his fourth spouse—was murdered, the Chicago Tribune reports. Kathleen Savio was found dead in a dry bathtub in 2004, and her death had been considered an accidental drowning. Authorities reopened the Savio case in November as police were investigating the disappearance of Stacy Peterson, who remains missing. Drew Peterson has not been charged in either case; he maintains his innocence, saying Stacy, 24, has run off with another man. His attorney recently said she had been seen in Peoria, though that claim was proved false.",Peterson's <MASK>rd Wife Murdered: New Autopsy,3,3,Trans(third),<MASK> = 3rd
"(Nov 17, 2014  3:46 AM) A 10-year-old Pennsylvania boy who accidentally shot himself in the face with his father's handgun is still alive thanks to two police officers who arrived minutes after a 911 call. The boy  was lifeless at the time we arrived,  the chief of police in Darby Township tells CBS.  One officer drove, one officer performed CPR in the back of the car. They got him to the nearest trauma center ... and he actually was revived.  The boy, who found the .357 magnum in his father's car, shot himself in the jaw and  I believe the exit wound was actually on the back of his head,  the chief says. Police say the boy and his sister were in the car waiting for their father to finish work late Saturday night when the boy found the handgun; their mother had reportedly dropped them off. After he was revived at the local hospital, he was airlifted to Children’s Hospital of Philadelphia in extremely critical condition; his condition is now listed as stable but guarded. The police chief says there's no sign of foul play, but interviews are still being conducted and there is a chance charges could be filed, reports the Delco Times. (A 4-year-old Ohio boy recently accidentally shot his 3-year-old sister.)","Cops Save Boy, <MASK>, Who Shot Self in Face",10,,Copy(10),<MASK> = Revived
"(Apr 2, 2014  10:35 AM CDT) UPS drivers left work for 90 minutes to protest the firing of a colleague—and found themselves in hot water not long afterward, the company tells the New York Daily News. Twenty were fired Monday, while 230 were told they had their jobs only until replacements were trained. A rep for UPS says the Queens, NY, drivers knew the protest put their jobs at risk. The drivers were demonstrating following the dismissal of union activist Jairo Reyes, who'd worked for the company for 24 years, local union head Tim Sylvester tells the paper. They believed he hadn't been treated as  innocent until proven guilty,  the Queens Chronicle reports.  UPS takes millions from the city and yet it’s going to bankrupt 250 families just because our guys stood up for a fellow worker,  Sylvester says. He's referring to a $43 million contract with government agencies as well as a government program that cuts parking ticket penalties for UPS. In 2006, UPS paid $20 million in parking fees; that figure fell to $1 million last year under the program, the Daily News notes. A public advocate has called on UPS to change its mind on the firings, and local politicians are hoping to launch talks. The company, for its part, has said that a collective bargaining agreement  states that if any employee participates in an unauthorized work stoppage, they can be terminated.",UPS Sacks 250 Drivers After <MASK>-Minute Protest,90,250,Copy(90),UPS Sacks 250 Drivers After 90-Minute Protest
"(Jul 5, 2019  12:38 PM CDT) Chicago was one of the cities that lost out to Rio de Janeiro back in 2009 for the right to host the 2016 Olympics. Bribery apparently would have helped. Sergio Cabral, a former Rio governor, told a court this week that he bought up to nine International Olympic Committee votes with a total of $2 million, reports Reuters. Two of the alleged bribe-takers are former gold medalists—Ukranian pole vaulter Sergey Bubka and Russian swimmer Alexander Popov. However, both denied Friday that they were paid to vote for Rio, reports the AP. The IOC said it is investigating and has contacted both men.  I have to admit that I am extremely surprised at the appearance of such information with the illegal use of my name,  said Popov, per the New York Times. Bubka rejected  all the false claims made by the former Rio state governor who is currently serving a long prison sentence for corruption.  Cabral detailed a scheme in which he gave $2 million to Lamine Diack, former president of the International Association of Athletics Federations, who allegedly dispersed the money. Also implicated is Carlos Nuzman, former head of the Brazilian Olympic Committee. Nuzman was previously charged, and Diack goes on trial next year. The money allegedly came from Brazilian businessman Arthur César de Menezes Soares Filho, who was arrested and released but is now at large.",Cost to Host Olympics? Start With $<MASK>M in Bribes,2,2,Copy(2),<MASK> = 2
"(Aug 7, 2013  12:47 PM CDT) It turns out there is a limit to how shameless lawyers can be in paying themselves in class action lawsuits. A federal appeals court last week threw out a $3 million settlement that Procter & Gamble had agreed to in a class-action suit over its allegedly rash-inducing Pampers Dry Max diapers, because $2.73 million of that settlement went to the lawyers. That left only a couple hundred thousand to distribute among the few dozen named plaintiffs, who would have gotten $1000 each, the Wall Street Journal reports. Unnamed class members were given the right to a one-box refund—something the company had offered independent of the settlement.  The relief that this settlement provides to unnamed class members is illusory,  one judge wrote, according to Bloomberg.  But one fact about this settlement is concrete and indisputable: $2.73 million is $2.73 million.  It was a 2-1 decision; the dissenting judge pointed out that without the settlement class members would have gotten even less. P&G can now try to have the case dismissed or attempt to work out a new settlement, notes the Journal.",Lawyers Halted From Taking $2.7M of $<MASK>M Settlement,3,3,Copy(3),<MASK> = 3
"(Aug 5, 2010  12:58 PM CDT) Ah, the plight of a small business owner, always bullied by unfair government regulation. Take it from 7-year-old Julie Murphy. Inspired by a cartoon show, Murphy decided to set up a lemonade stand at a monthly art fair in Northeast Portland. People were drinking down the 50-cent cups of Kool-Aid great, until a government inspector came over and demanded to see her temporary restaurant license, the Oregonian reports. Such licenses cost $120, and naturally, Julie didn’t have one. Others at the fair encouraged her to give out the lemonade, in exchange for donations, but the inspectors returned and ordered the girl—who soon began crying—to close shop, or face a $500 fine. The county health supervisor stands by that decision, particularly because Julie had set up at a big event.  We still need to put the public’s health first,  she says.",County Closes <MASK>-Year-Old's Lemonade Stand,7,7,Copy(7),County Closes 7-Year-Old's Lemonade Stand
"(Jul 21, 2014  6:45 AM CDT) A set of keys and a toothbrush may seem like innocuous, everyday items, but they become sacred when they belong to the dead. So when Sky News reporter Colin Brazier was caught during a live broadcast yesterday riffling through the personal effects—toothbrush and keys among them—of one of the deceased passengers at the MH17 crash site in Ukraine, people around the world responded angrily, calling the act  disrespectful  and  appalling.  In a statement, Sky News says it has received a  handful  of complaints from viewers, reports the Guardian, and both Sky News and Brazier  apologize profusely for any offense caused.  Brazier, who was nominated for this year's Royal Television Society presenter of the year award, was standing amidst a pile of luggage, reports news.com.au, when he said:  I think it’s a small girl’s bag by the looks of things. A set of keys, a toothbrush.  He then stopped himself from riffling through the luggage further when he said,  We really shouldn't be doing this, I suppose.  He went on to say he'd encountered scores of body parts charred to the point of being unrecognizable.  It is a truly macabre, horrific situation,  he said of the carnage in rebel-held eastern Ukraine, where 283 passengers and 15 crew perished.  There is a degree of anarchy and lawlessness.  (An American and a scientist studying in the US were on the flight.)",Reporter: Sorry for Snooping in MH<MASK> Baggage,17,17,Copy(17),<MASK> = 17
"(Jan 27, 2017  2:25 PM) President Trump had his first meeting with a foreign leader since taking office Friday when he held a joint press conference with UK Prime Minister Theresa May, the Wall Street Journal. The main goal of the meeting was to start setting up a trade deal between the two countries that would take effect when the UK leaves the EU. (Trump called Brexit a  fantastic thing  for the UK.) Trump highlighted the  special relationship  between the US and UK, and May said she wanted to make that relationship  even stronger.  According to CNN, May said that while the UK won't always agree with the US, the two countries will have an  open and frank discussion  about the issues. Some of those disagreements were already apparent during Friday's press conference. May reiterated her support for sanctions on Russia, and while Trump said it was too early to talk about lifting sanctions, he said he hopes to have as good a relationship with that country as the US has with the UK. And the BBC reports May said Trump told her he was  100% behind NATO,  an organization he has repeatedly derided as obsolete. May and Trump will apparently meet again later this year; May said the president has accepted an invitation for a state visit to the UK from Queen Elizabeth.",Trump Holds <MASK>st Presidential Meeting With Foreign Leader,1,,Trans(first),<MASK> = first
"(Dec 15, 2011  1:19 AM) A bad batch of illegal liquor has killed at least 102 people in villages that fringe Calcutta. Dozens more are critically ill with alcohol poisoning. Traces of highly toxic methanol were found in the victims, who were mostly poor day laborers and rickshaw-pullers who bought the hooch in pouches for some 25 cents a liter, the BBC reports. Authorities demolished makeshift distilleries and bars after the deaths, and pledged to crack down on corrupt cops involved in the illegal liquor trade.  A section of low-ranking policemen may be involved. If we find that our men are in cahoots with those trading in illicit liquor, we will take action against them,  a district police officer tells the Calcutta Telegraph. The deaths are the second tragedy to hit the Indian city in the space of a week. At least 91 people were killed in a hospital fire last Friday.",Bad Hooch Kills <MASK> in Calcutta,102,102,Copy(102),<MASK> = 102
